SEED 126
INIT_TIME 0
FIN_TIME 10000
ARRIVE_MIN 20
ARRIVE_MAX 80
QUIT_PROB 0.200000
NETWORK_PROB 0.500000
CPU_MIN 5
CPU_MAX 50
DISK1_MIN 50
DISK1_MAX 200
DISK2_MIN 50
DISK2_MAX 200
NETWORK_MIN 300
NETWORK_MAX 500
At time 0, simulations STARTS.
At time 0, process 0, arrival.
At time 0, process 0, arrives at cpu.
At time 28, process 1, arrival.
At time 31, process 0, exits the cpu.
At time 31, process 0, exits the SYSTEM.
At time 31, process 1, arrives at cpu.
At time 76, process 2, arrival.
At time 77, process 1, exits the cpu.
At time 77, process 1, arrives at disk1.
At time 77, process 2, arrives at cpu.
At time 96, process 3, arrival.
At time 126, process 2, exits the cpu.
At time 126, process 2, exits the SYSTEM.
At time 126, process 3, arrives at cpu.
At time 172, process 3, exits the cpu.
At time 172, process 3, arrives at disk2.
At time 174, process 4, arrival.
At time 174, process 4, arrives at cpu.
At time 198, process 1, exits the disk1.
At time 209, process 5, arrival.
At time 216, process 4, exits the cpu.
At time 216, process 4, exits the SYSTEM.
At time 216, process 1, arrives at cpu.
At time 223, process 3, exits the disk2.
At time 227, process 1, exits the cpu.
At time 227, process 1, exits the SYSTEM.
At time 227, process 5, arrives at cpu.
At time 229, process 6, arrival.
At time 271, process 5, exits the cpu.
At time 271, process 5, arrives at disk1.
At time 271, process 3, arrives at cpu.
At time 288, process 7, arrival.
At time 315, process 3, exits the cpu.
At time 315, process 3, arrives at network.
At time 315, process 6, arrives at cpu.
At time 323, process 8, arrival.
At time 335, process 6, exits the cpu.
At time 335, process 6, exits the SYSTEM.
At time 335, process 7, arrives at cpu.
At time 344, process 7, exits the cpu.
At time 344, process 7, exits the SYSTEM.
At time 344, process 8, arrives at cpu.
At time 373, process 8, exits the cpu.
At time 373, process 8, exits the SYSTEM.
At time 396, process 9, arrival.
At time 396, process 9, arrives at cpu.
At time 423, process 9, exits the cpu.
At time 423, process 9, arrives at disk2.
At time 433, process 5, exits the disk1.
At time 433, process 5, arrives at cpu.
At time 436, process 10, arrival.
At time 450, process 5, exits the cpu.
At time 450, process 10, arrives at cpu.
At time 478, process 10, exits the cpu.
At time 479, process 11, arrival.
At time 479, process 11, arrives at cpu.
At time 503, process 11, exits the cpu.
At time 503, process 11, arrives at disk1.
At time 504, process 12, arrival.
At time 504, process 12, arrives at cpu.
At time 511, process 9, exits the disk2.
At time 519, process 12, exits the cpu.
At time 519, process 9, arrives at cpu.
At time 538, process 13, arrival.
At time 560, process 14, arrival.
At time 563, process 9, exits the cpu.
At time 563, process 9, arrives at disk2.
At time 563, process 13, arrives at cpu.
At time 569, process 13, exits the cpu.
At time 569, process 14, arrives at cpu.
At time 599, process 14, exits the cpu.
At time 633, process 15, arrival.
At time 633, process 15, arrives at cpu.
At time 635, process 11, exits the disk1.
At time 635, process 13, arrives at disk1.
At time 660, process 16, arrival.
At time 661, process 15, exits the cpu.
At time 661, process 11, arrives at cpu.
At time 694, process 11, exits the cpu.
At time 694, process 16, arrives at cpu.
At time 700, process 16, exits the cpu.
At time 700, process 16, exits the SYSTEM.
At time 713, process 17, arrival.
At time 713, process 17, arrives at cpu.
At time 745, process 17, exits the cpu.
At time 745, process 17, exits the SYSTEM.
At time 750, process 13, exits the disk1.
At time 750, process 13, arrives at cpu.
At time 757, process 9, exits the disk2.
At time 757, process 15, arrives at disk2.
At time 770, process 18, arrival.
At time 774, process 3, exits the network.
At time 774, process 5, arrives at network.
At time 777, process 13, exits the cpu.
At time 777, process 13, arrives at disk1.
At time 777, process 9, arrives at cpu.
At time 793, process 9, exits the cpu.
At time 793, process 9, exits the SYSTEM.
At time 793, process 18, arrives at cpu.
At time 803, process 19, arrival.
At time 812, process 18, exits the cpu.
At time 812, process 3, arrives at cpu.
At time 850, process 20, arrival.
At time 860, process 3, exits the cpu.
At time 860, process 3, exits the SYSTEM.
At time 860, process 19, arrives at cpu.
At time 895, process 19, exits the cpu.
At time 895, process 19, exits the SYSTEM.
At time 895, process 20, arrives at cpu.
At time 900, process 13, exits the disk1.
At time 927, process 21, arrival.
At time 933, process 20, exits the cpu.
At time 933, process 13, arrives at cpu.
At time 940, process 15, exits the disk2.
At time 969, process 22, arrival.
At time 977, process 13, exits the cpu.
At time 977, process 21, arrives at cpu.
At time 1008, process 21, exits the cpu.
At time 1008, process 15, arrives at cpu.
At time 1014, process 15, exits the cpu.
At time 1014, process 15, exits the SYSTEM.
At time 1014, process 22, arrives at cpu.
At time 1049, process 23, arrival.
At time 1055, process 22, exits the cpu.
At time 1055, process 22, exits the SYSTEM.
At time 1055, process 23, arrives at cpu.
At time 1060, process 23, exits the cpu.
At time 1060, process 23, exits the SYSTEM.
At time 1123, process 24, arrival.
At time 1123, process 24, arrives at cpu.
At time 1141, process 24, exits the cpu.
At time 1141, process 24, arrives at disk1.
At time 1175, process 25, arrival.
At time 1175, process 25, arrives at cpu.
At time 1182, process 25, exits the cpu.
At time 1182, process 25, exits the SYSTEM.
At time 1185, process 5, exits the network.
At time 1185, process 5, arrives at cpu.
At time 1185, process 10, arrives at network.
At time 1219, process 5, exits the cpu.
At time 1219, process 5, exits the SYSTEM.
At time 1232, process 26, arrival.
At time 1232, process 26, arrives at cpu.
At time 1239, process 24, exits the disk1.
At time 1242, process 26, exits the cpu.
At time 1242, process 26, exits the SYSTEM.
At time 1242, process 24, arrives at cpu.
At time 1257, process 27, arrival.
At time 1257, process 24, exits the cpu.
At time 1257, process 24, exits the SYSTEM.
At time 1257, process 27, arrives at cpu.
At time 1266, process 27, exits the cpu.
At time 1279, process 28, arrival.
At time 1279, process 28, arrives at cpu.
At time 1291, process 28, exits the cpu.
At time 1338, process 29, arrival.
At time 1338, process 29, arrives at cpu.
At time 1362, process 29, exits the cpu.
At time 1362, process 29, exits the SYSTEM.
At time 1400, process 30, arrival.
At time 1400, process 30, arrives at cpu.
At time 1437, process 30, exits the cpu.
At time 1437, process 30, arrives at disk1.
At time 1457, process 31, arrival.
At time 1457, process 31, arrives at cpu.
At time 1469, process 31, exits the cpu.
At time 1490, process 10, exits the network.
At time 1490, process 10, arrives at cpu.
At time 1490, process 12, arrives at network.
At time 1506, process 32, arrival.
